title,description,question,difficulty
Клаус,"Владелец почтовой империи, чтобы научить ленивого отпрыска по имени Джеспер уму-разуму, отправляет его на крайний север в город Смиренсбург. Тот должен организовать там почтовое отделение и за год обработать не менее 6000 писем. Прибыв на место, парень оказывается в зоне боевых действий: два семейных клана, так уж исторически сложилось, питают взаимную ненависть и свято чтут многовековую традицию при любой возможности мутузить друг друга и делать пакости. Разумеется, в такой обстановке не до писем, и почтовое отделение давно превратилось в курятник. Уже практически отчаявшись, Джеспер посещает лесного отшельника по имени Клаус, и их знакомство положит начало удивительным событиям.","Помоги вспомнить фильм, где главный герой встречает лесного отшельника, чтобы изменить атмосферу в городе.?",4
Тепло наших тел,"Мир поражен чумой и стоит на грани вымирания. Покойники ходят по земле и норовят употребить в пищу живых, которые, оставшись в катастрофическом меньшинстве, с трудом держат оборону. Перемены начинаются, когда один зомби, чье имя при жизни начиналось на «Р», спасает девушку вместо того, чтобы ее съесть. Дружба, завязавшаяся между представителями враждующих сторон, грозит обоим самыми нехорошими последствиями. Но Р и Джули, сами того не подозревая, держат в руках простой и единственный ключ к спасению гибнущего мира.","Помоги вспомнить фильм, где зомби спасает девушку вместо того, чтобы ее съесть.?",1
Безумцы,"В окрестностях небольшого городка падает самолёт, на борту которого находится чрезвычайно опасный вирус. Зараза попадает в водную систему города, жители один за другим «заболевают» и начинают яростно бросаться на всех подряд. Военные оперативно запирают город на карантин, отстреливая зараженных.","Помоги вспомнить фильм, где город запирают на карантин из-за опасного вируса.?",3
Извне,"Затерянный в лесу городок пленяет каждого, кому не посчастливилось туда попасть — покинуть это место невозможно. Днем невольные жители пытаются выстроить подобие нормального быта и найти способ выбраться, а по ночам спасаются от страшных лесных обитателей, которые приходят навестить горожан сразу после захода солнца.","Помоги вспомнить фильм, где жители городка пытаются выжить среди лесных обитателей по ночам.?",3
Унесённые призраками,"Тихиро с мамой и папой переезжает в новый дом. Заблудившись по дороге, они оказываются в странном пустынном городе, где их ждет великолепный пир. Родители с жадностью набрасываются на еду и к ужасу девочки превращаются в свиней, став пленниками злой колдуньи Юбабы. Теперь, оказавшись одна среди волшебных существ и загадочных видений, Тихиро должна придумать, как избавить своих родителей от чар коварной старухи.","Помоги вспомнить фильм, где девочка должна спасти своих родителей от колдуньи в загадочном городе.?",4
Мстители: Война бесконечности,"Пока Мстители и их союзники продолжают защищать мир от различных опасностей, с которыми не смог бы справиться один супергерой, новая угроза возникает из космоса: Танос. Межгалактический тиран преследует цель собрать все шесть Камней Бесконечности — артефакты невероятной силы, с помощью которых можно менять реальность. Всё, с чем Мстители сталкивались ранее, вело к этому моменту — судьба Земли никогда ещё не была столь неопределённой.","Помоги вспомнить фильм, где супергерои объединяются против космического тирана, стремящегося собрать мощные артефакты.?",3
Нечто,"Команде ученых американской исследовательской станции в Антарктике предстоит столкнуться с необъяснимым кошмаром. Отрезанные от остального мира полярники вступают в схватку с инопланетной тварью, способной принимать обличье земных существ.","Помоги вспомнить фильм, где команда ученых сражается с инопланетным существом в холодной пустыне.?",3
Эта дурацкая любовь,"У Кола Уивера, пуританских взглядов семьянина, не жизнь, а мечта — хорошая работа, прекрасный дом, замечательные дети и брак со школьной возлюбленной. Но когда Кол узнает, что его жена Эмили изменила ему и хочет развода, его «идеальная» жизнь летит под откос. Проводя все свое свободное время в баре в дурном расположении духа, несчастный Кол внезапно становится протеже обаятельного молодого ловеласа Джейкоба Палмера. Пытаясь помочь Колу забыть жену и начать новую жизнь, Джейкоб открывает ему глаза на многочисленные возможности, открывающиеся перед ним: кокетливые женщины, крепкие напитки и чувство стиля, которое нельзя найти в дешевой парикмахерской или магазине распродаж.","Помоги вспомнить фильм, где семьянин открывает для себя новые возможности после изменений в личной жизни.?",5
Халк,"Доктор Брюс Бэннер (ученый, работающий над изобретением новой бомбы) подвергся воздействию гамма-лучей и превратился в Халка - существо невероятной физической силы, которое в состоянии ярости становится огромным зеленым монстром.

Его преследуют военные под предводительством генерала Росса, ему приходится бежать через всю страну. В конце концов, у него возникает любовная история с генеральской дочкой Бетти...","Помоги вспомнить фильм, где главный герой превращается в огромного зеленого монстра после воздействия радиации.?",4
По соображениям совести,"Медик американской армии времён Второй мировой войны Десмонд Досс, который служил во время битвы за Окинаву, отказывается убивать людей и становится первым идейным уклонистом в американской истории, удостоенным Медали Почёта.","Помоги вспомнить фильм, где главный герой отказывается убивать во время войны.?",2
Голодные игры,"Будущее. Деспотичное государство ежегодно устраивает показательные игры на выживание, за которыми в прямом эфире следит весь мир. В этот раз участвовать будут юная Китнисс и тайно влюбленный в нее Пит. Они знакомы с детства, но теперь должны стать врагами. Ведь по нерушимому закону Голодных игр победить может только один из 24 участников. Судьям не важно, кто выиграет, главное — зрелище. И на этот раз зрелище будет незабываемым.","Помоги вспомнить фильм, где юная героиня должна сразиться с другом детства на арене.?",2
Алиса в Пограничье,"Молодой безработный игроман Рёхэй Арису в очередной раз поссорился с отцом и старшим братом и ушёл из дома. Он встречается с двумя закадычными друзьями — один прогуливает работу, а другого уволили — в районе Сибуя, где ребята видят в небе странный салют, а после троицу накрывает новая реальность. Друзья оказываются в пустынной версии Токио и выясняют, что теперь им предстоит участвовать в жестоких играх на выживание, после успешного прохождения которых им будут выдаваться визы на несколько дней. Проигравших ждёт смерть, вышедших из игры ждёт смерть, и тех, кто отказывается продлевать визы, тоже ждёт мгновенная смерть от небесного лазера.","Помоги вспомнить фильм, где группа друзей участвует в жестоких играх на выживание в пустом Токио.?",2
Убить Билла,"В беременную наёмную убийцу по кличке Чёрная Мамба во время бракосочетания стреляет человек по имени Билл. Но голова у женщины оказалась крепкой — пролежав четыре года в коме, бывшая невеста приходит в себя. Она горит желанием найти предателей. Теперь только безжалостная месть успокоит сердце Чёрной Мамбы, и она начинает по очереди убивать членов банды Билла, решив оставить главаря напоследок.","Помоги вспомнить фильм, где главная героиня хочет отомстить за предательство во время бракосочетания.?",2
Босиком по мостовой,"Можно ли встретить более диковинную пару, чем Ник и Лайла — хронический аутсайдер и склонная к самоубийству, психически неустойчивая девушка?  Проработав лишь сутки уборщиком в психбольнице, Ник совершенно случайно предотвращает суицид Лайлы. После чего беззащитная, но упорная девушка однажды появляется на пороге его квартиры и остается с ним навсегда. Но есть ли еще место для любви в таких сердцах, искалеченных предвзятостью и стереотипами социума?","В каком фильме главные герои пытаются найти любовь, несмотря на свои внутренние демоны и социальные предвзятости?",5
Реальная любовь,"Любовь поистине правит всеми вокруг — от премьер-министра, влюбившегося в сотрудницу своего аппарата, до писателя, сбежавшего на юг Франции, чтобы склеить свое разбитое сердце.","Помоги вспомнить фильм, где любовь влияет на премьер-министра и писателя с разбитым сердцем.?",5
Дикие истории,"Гэбриела Пастернака обижали многие, с кем сводила его жизнь – девушка, учитель музыки, профессор в консерватории, дантист. И вот все они, на свою беду, оказались вместе с ним в одном самолете… Ночью в придорожной закусочной официантка узнает в посетителе ростовщика, который много лет назад довел до самоубийства ее отца. А у поварихи, в прошлом отсидевшей срок, для мести такому гаду сразу нашлось средство – крысиный яд… Городской красавчик ехал на своей мощной Audi по пустынной дороге и решил обогнать старый Peugeot, но сидевший за рулем провинциальный упырь решил не уступать. И вот уже кровавый итог бессмысленного соперничества не за горами…","Помоги вспомнить фильм, где в самолете собрались люди с общими обидами и неожиданными последствиями.?",3
Мир в огне,"После того как мощная солнечная вспышка уничтожила восточное полушарие Земли, охотник за сокровищами отправляется в Европу, чтобы найти «Мону Лизу». Вскоре он осознаёт, что его ждёт более важная миссия, чем поиск картины.","Помоги вспомнить фильм, где охотник за сокровищами сталкивается с чем-то более важным, чем просто искусство.?",5
Черепашки-ниндзя,"Город нуждается в героях. Тьма окутала Нью-Йорк в виде Шреддера и его зловещего Клана Футов, у которого имеется железный контроль над всеми, от полицейских до политиков. Будущее выглядит мрачным, пока из канализации не поднимается и не раскрывает своё предназначение четвёрка отверженных братьев — Черепашки-ниндзя. Черепашки должны работать вместе с бесстрашным репортёром Эйприл и её саркастическим оператором Верном Фенвиком, чтобы спасти город и разгадать дьявольский план Шреддера.","Помоги вспомнить фильм, где братья-черепашки сражаются с злым Шреддером в Нью-Йорке.?",2
Железный человек 3,"Когда мир Старка рушится на его глазах по вине неизвестных противников, Тони жаждет найти виновных и свести с ними счеты. Оказавшись в безвыходной ситуации, Старк может рассчитывать только на себя и свою изобретательность, чтобы защитить тех, кто ему дорог. Это становится настоящим испытанием для героя, которому придется не только сражаться с коварным врагом, но и разобраться в себе, чтобы найти ответ на вопрос, который давно его тревожит: что важнее - человек или костюм?","Помоги вспомнить фильм, где герой ищет баланс между своим человеческим существом и технологией.?",5
Пророк. История Александра Пушкина,"Пушкин молод, дерзок и любим публикой: он — звезда любого бала, поклонники носят его на руках, а девушки мечтают о его внимании. Но ни высокие покровители, ни верные друзья, ни известность не могут отвести от него злой рок — ссылки, дуэли, безденежье. Пока однажды он не встречает ту самую, единственную, кто осветит его жизнь и станет его судьбой.","Помоги вспомнить фильм, где молодой поэт сталкивается с роковыми событиями в своей жизни.?",2
Темный рыцарь: Возрождение легенды,"Восемь лет назад Бэтмен растворился в ночи, превратившись из героя в беглеца. Приняв на себя вину за смерть прокурора Харви Дента, он пожертвовал всем. Вместе с комиссаром Гордоном они решили, что так будет лучше для всех. Пока преступность была раздавлена антикриминальным актом Дента, ложь действовала.

Тем не менее, еще опаснее становится появление нового врага Бэйна, чье лицо закрыто маской.  Он разворачивает в Готэме чудовищную деятельность, и это вынуждает Брюса Уэйна выйти из импровизированного изгнания. Однако даже надев свой костюм, Бэтмен может проиграть Бэйну. Но с появлением хитрой воровки по прозвищу Женщина — Кошка с загадочным прошлым всё меняется.","Помоги вспомнить фильм, где Бэтмен становится беглецом после смерти прокурора.?",1
Как отделаться от парня за 10 дней,"Журналистка Энди Андерсон решает написать статью на тему: «Типичные ошибки, которыми женщины отталкивают от себя мужчин». Она планирует найти парня, завязать знакомство, а потом своим поведением добиться, чтобы тот её бросил. Редактор даёт ей на это 10 дней. На беду Энди ее выбор пал на молодого рекламного агента Бенджамина Бэрри, который сам как раз заключил со своим боссом пари, что он сможет влюбить в себя девушку за 10 дней. Может ли такое странное знакомство, основанное на авантюре и замешанное на лжи, привести к взаимности?","Помоги вспомнить фильм, где главные герои заключают пари о любви за 10 дней.?",3
Пацаны,"Действие сериала разворачивается в мире, где существуют супергерои. Именно они являются настоящими звездами. Их все знают и обожают. Но за идеальным фасадом скрывается гораздо более мрачный мир наркотиков и секса, а большинство героев — в жизни не самые приятные люди. Противостоит им отряд, неофициально известный как «Пацаны».","Помоги вспомнить сериал, где супергерои на самом деле оказались совсем не теми, кем кажутся.?",3
Дневники мертвецов,"Во время съемок фильма ужасов Джейсон Крид и его друзья, студенты колледжа, узнают невероятную новость: вымысел превратился в реальность, мертвецы восстали из мертвых! Испуганные и растерянные, ребята в страхе бегут домой, надеясь найти укрытие в родных стенах, но вскоре понимают, что возвращаться им больше некуда. 

Все, что было дорого Джейсону и его друзьям, все их надежды и мечты были растерзаны молчаливой толпой живых мертвецов. У них осталась только одна причина жить: фильм, который станет последней кинохроникой умирающей цивилизации. Ради возможности добавить еще одну печальную запись в «Дневники мертвецов», Джейсон не остановит съемку, даже когда зомби начнут разрывать на части его друзей.","Помоги вспомнить фильм, где студенты снимают фильм ужасов и сталкиваются с настоящими зомби.?",4
Субстанция,"Слава голливудской звезды Элизабет Спаркл осталась в прошлом, хотя она всё ещё ведёт фитнес-шоу на телевидении. Когда её передачу собираются перезапустить с ведущей помоложе, от отчаяния Элизабет решает принять инновационный препарат, создатели которого обещают невероятное преображение, но при соблюдении правила одной недели. Так на свет появляется молодая красотка Сью. Девушка начинает делать карьеру в шоу-бизнесе и вскоре решает, что семи дней ей маловато.","Помоги вспомнить фильм, где главная героиня принимает препарат для преображения и начинает карьеру в шоу-бизнесе.?",4
Балерина,"Когда Ева была маленькой, вооруженные люди во главе с мужчиной по прозвищу Канцлер оставили её сиротой. Так девочка оказалась в криминальной семье «Русска рома» на попечении Директрисы нью-йоркской балетной школы, одновременно служащей академией наемных убийц. Не добившись успехов в балете, но боевые курсы окончив с отличием, Ева отправляется в Европу мстить за папу.","Помоги вспомнить фильм, где главная героиня мстит за своего отца и обучалась балету.?",3
Обитель зла 3,"Элис, не раз уже спасавшая мир от смертельных вирусов и неминуемой гибели, вновь взялась за оружие. На этот раз ей предстоит сразиться с корпорацией «Амбрелла», работающей над реализацией зверского антигуманного проекта. Коварные политики и прагматичные ученые стремятся уничтожить людей и заменить их на более «совершенные» создания, заселив Землю неуязвимыми бессмертными клонами…","Помоги вспомнить фильм, где главная героиня сражается с корпорацией, замышляющей замену человечества клонами.?",5
Волк с Уолл-стрит,"1987 год. Джордан Белфорт становится брокером в успешном инвестиционном банке. Вскоре банк закрывается после внезапного обвала индекса Доу-Джонса. По совету жены Терезы Джордан устраивается в небольшое заведение, занимающееся мелкими акциями. Его настойчивый стиль общения с клиентами и врождённая харизма быстро даёт свои плоды. Он знакомится с соседом по дому Донни, торговцем, который сразу находит общий язык с Джорданом и решает открыть с ним собственную фирму. В качестве сотрудников они нанимают нескольких друзей Белфорта, его отца Макса и называют компанию «Стрэттон Оукмонт». В свободное от работы время Джордан прожигает жизнь: лавирует от одной вечеринки к другой, вступает в сексуальные отношения с проститутками, употребляет множество наркотических препаратов, в том числе кокаин и кваалюд. Однажды наступает момент, когда быстрым обогащением Белфорта начинает интересоваться агент ФБР...","Помоги вспомнить фильм, где главный герой открывает свою фирму с соседом по дому.?",3
Элио,"11-летний Элио, неудачник с богатой фантазией, случайно телепортируется в Коммуниверс — межпланетную организацию, объединяющую представителей далеких галактик. Ошибочно назначенный послом Земли и совершенно не готовый к такому давлению, Элио должен установить новые связи с эксцентричными инопланетянами, пройти ряд серьезных испытаний и узнать, кем ему суждено быть на самом деле.","Помоги вспомнить фильм, где мальчик стал послом Земли среди инопланетян и столкнулся с испытаниями.?",5
Человек-бензопила,"Подросток Дэндзи всего лишь хотел жить обычной жизнью и есть досыта, но оставшиеся после смерти отца долги вынуждают парня влачить полуголодное существование и жить в халупе. Чтобы расплатиться с якудза, он уже продал некоторые свои органы и даже промышляет нелегальной охотой на демонов, в чём ему помогает необычный питомец Потита, демоническое существо с бензопилой. Однажды коварные бандиты заманивают Дэндзи в ловушку и приносят в жертву, но Потита не даёт парню умереть. Он сращивает его тело и становится сердцем своего хозяина — теперь Дэндзи обладает повышенной регенерацией, а также может превращать конечности в бензопилы. Такого ценного кадра нанимает Бюро общественной безопасности, чтобы тот снова охотился на демонов. На новой работе парень знакомится с коллегами — меланхоличным охотником Аки, вспыльчивой полудемонессой Пауэр — и влюбляется в свою загадочную начальницу Макиму.","Помоги вспомнить фильм, где главный герой превращает свои конечности в бензопилы.?",1
"То лето, когда я похорошела",О любовном треугольнике между одной девушкой и двумя братьями.,"Помоги вспомнить фильм, где девушка оказывается в любовном треугольнике с двумя братьями.?",2
Одни из нас,"В конце сентября 2003 года по всей планете произошло массовое заражение людей кордицепсом. Прежде паразитировавший только на насекомых гриб приспособился выживать в человеческом теле, полностью подчиняя себе волю носителя и меняя его облик. В первый же день оказавшийся в эпицентре пандемии строитель Джоэл понёс невосполнимую утрату.
20 лет спустя Джоэл живёт в Бостонской карантинной зоне, которая находится под жёстким контролем Федерального агентства по урегулированию стихийных бедствий, и вместе со своей девушкой Тэсс пытается раздобыть автомобильный аккумулятор, чтобы отправиться на поиски брата в другой штат. Судьба сводит его с раненой лидершей повстанцев, которая обещает автомобиль и аккумулятор, если Джоэл и Тэсс доставят своенравную 14-летнюю сироту Элли к ожидающему её за пределами карантинной зоны отряду боевых товарищей.","Помоги вспомнить фильм, где главные герои ищут автомобильный аккумулятор в условиях пандемии.?",2
Приключения Тинтина: Тайна единорога,Главный герой — молодой газетный репортёр Тинтин. Благодаря своей профессии он путешествует по всему миру и становится участником увлекательных приключений.,"Помоги вспомнить фильм, где молодой репортёр исследует загадки и путешествует по миру.?",2
Тор 2: Царство тьмы,"Могучему Тору предстоит вновь сразиться за восстановление порядка в галактике, встретившись лицом к лицу с древней инопланетной расой, ведомой злодеем Малекитом, который жаждет установить в девяти мирах власть тьмы. Столкнувшись с врагом, более могущественным, чем сам Один и всё воинство Асгарда, Тор должен собрать силы для решающей битвы. Его ждёт опасное путешествие и долгожданная встреча со своей земной возлюбленной Джейн Фостер. Сможет ли Тор рискнуть самым дорогим, чтобы не дать тьме воцариться на просторах вселенной?","Помоги вспомнить фильм, где Тор сталкивается с инопланетной расой и рискует ради своей возлюбленной.?",3
Бойцовский клуб,"Сотрудник страховой компании страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Однажды в очередной командировке он встречает некоего Тайлера Дёрдена — харизматического торговца мылом с извращенной философией. Тайлер уверен, что самосовершенствование — удел слабых, а единственное, ради чего стоит жить, — саморазрушение.

Проходит немного времени, и вот уже новые друзья лупят друг друга почем зря на стоянке перед баром, и очищающий мордобой доставляет им высшее блаженство. Приобщая других мужчин к простым радостям физической жестокости, они основывают тайный Бойцовский клуб, который начинает пользоваться невероятной популярностью.","Помоги вспомнить фильм, где главный герой страдает бессонницей и встречает харизматичного торговца мылом.?",1
Роднина,"Впервые встав на лед, маленькая Ира понимает, что нашла свое призвание. Спустя годы талантливая спортсменка идет к заветной золотой медали, но судьба преподносит ей настоящие испытания. Преодолев тяжелую болезнь, измену партнера, конфликт с тренером, Ирина Роднина обретает настоящую любовь и, благодаря невероятной силе духа и жажде победы, бросает вызов всему миру — возвращается на лед, чтобы стать легендой советского и мирового спорта.","Помоги вспомнить фильм, где маленькая спортсменка преодолевает испытания ради своей мечты о золотой медали.?",4
Дюна: Часть вторая,"Герцог Пол Атрейдес присоединяется к фрименам, чтобы стать Муад Дибом, одновременно пытаясь остановить наступление войны.","Помоги вспомнить фильм, где герой становится лидером фрименов в борьбе против войны.?",4
Синяя тюрьма: Блю Лок,"Чтобы выиграть Чемпионат мира, японская футбольная ассоциация решает нанять загадочного и эксцентричного тренера Дзимпати Эго. Тот в уверенности, что в Японии нет хороших нападающих, создает Блю Лок — тюрьму, где триста юных талантливых футболистов соревнуются друг с другом. Победитель получит право стать нападающим национальной сборной, а проигравшим навсегда запретят играть за сборную.

Одним из участников становится Ёити Исаги, который мечтает стать величайшим нападающим в мире и привести Японию к футбольной славе.","Помоги вспомнить фильм, где главный герой стремится стать величайшим нападающим, участвуя в необычных соревнованиях.?",4
Ford против Ferrari,"В начале 1960-х Генри Форд II принимает решение улучшить имидж компании и сменить курс на производство более модных автомобилей. После неудавшейся попытки купить практически банкрота Ferrari американцы решают бросить вызов итальянским конкурентам на трассе и выиграть престижную гонку 24 часа Ле-Мана. Чтобы создать подходящую машину, компания нанимает автоконструктора Кэррола Шэлби, а тот отказывается работать без выдающегося, но, как считается, трудного в общении гонщика Кена Майлза. Вместе они принимаются за разработку впоследствии знаменитого спорткара Ford GT40.","Помоги вспомнить фильм, где Генри Форд II решает улучшить имидж компании.?",1
Бойфренд из будущего,"Тиму повезло – он молодой, симпатичный, многообещающий адвокат, а еще он… умеет перемещаться во времени. И чтобы очаровать девушку своей мечты, он готов повторять первое свидание вновь и вновь. Воистину,  любовь с первого взгляда не всегда выходит с первого раза...","Помоги вспомнить фильм, где парень использует путешествия во времени, чтобы добиться любви.?",2
Назад в будущее 2,"Продолжение фантастической истории о приключениях американского подростка во времени. На этот раз с помощью модернизированной Доком машины времени Марти из 80-х попадает в будущее.

Дети Марти в беде, и их надо выручать. Приходится повозиться со злодеем...","Помоги вспомнить фильм, где подросток из 80-х спасает своих детей в будущем от злодея.?",5
Пианист,"Фильм снят по автобиографии Владислава Шпильмана, одного из лучших пианистов Польши 30-х годов прошлого века. Главный герой фильма — Владек — занимается искусством до тех пор, пока территорию Польши не занимают нацисты. Жизнь всех евреев меняется: их помещают в Варшавское гетто, запрещают работать, унижают, заставляют носить отличительные повязки, а через некоторое время отправляют в концлагерь.","Помоги вспомнить фильм, где главный герой продолжает заниматься музыкой в условиях оккупации.?",3
Опасная игра Слоун,"Элизабет Слоун — самый востребованный и рисковый лоббист политического бизнеса США. Ловко ведя психологические игры и используя искусство манипуляции, она сражает оппонентов своей непредсказуемостью и никогда не проигрывает. Но когда она берется за самое сложное в своей карьере дело, то понимает, что цена победы может быть слишком высокой.","Помоги вспомнить фильм, где главная героиня — успешный лоббист с непредсказуемым стилем работы.?",1
Голый пистолет,"Обезвредив грабителей банка, Фрэнк Дребин — младший разнёс половину здания, за что получил запрет заниматься этим делом и был назначен на новое — расследование автоаварии, в которой погиб один из сотрудников технологической компании. Бывалый коп подозревает, что эти происшествия связаны, когда судьба сводит его с красоткой Бэт — сестрой погибшего и авторшей популярных детективных романов.","Помоги вспомнить фильм, где коп расследует смерть сотрудника технологической компании и встречает авторшу детективов.?",3
Патруль времени,"Передвижения во времени породили новый тип преступлений. Можно изменять события прошлого, контролировать финансовые рынки и даже уничтожать целые народы. Правительство США создает специальное полицейское подразделение - патруль времени. 

Продажный сенатор, рвущийся к президентскому креслу, отправляется в прошлое, чтобы изменить ход истории. Вслед за ним отправляется полицейский Макс Уокер. Его ждет не только смертельная опасность, но и сильнейшее искушение, ведь, попав в прошлое, он может предотвратить смерть любимой жены...","Помоги вспомнить фильм, где полицейский отправляется в прошлое ради спасения любимой.?",1
Из ада,"Он - воплощение тьмы и ужаса. Он самый таинственный и знаменитый из всех серийных убийц, известных истории. Он погрузил Англию в атмосферу страха и породил массу слухов и домыслов. Убийца, который знает больше простого мясника или лаборанта. Убивая, он совершает чудовищный ритуал. Его прозвище - Джек-Потрошитель.
Поймать его пытается инспектор Фред Эбберлайн. С помощью опиума он усиливает свой природный дар ясновидения и приходит к выводу, что дело Джека-Потрошителя – часть злодейского заговора, в который замешан Орден Масонов, выполняющий, в свою очередь, волю королевского дома.","Помоги вспомнить фильм, где инспектор использует опиум для расследования серийных убийств.?",2
Славные парни,"История о Генри Хилле — начинающем гангстере, занимающемся грабежами вместе с подельниками Джими Конвеем и Томми Де Вито, которые с легкостью убивают любого, кто встаёт у них на пути.","Помоги вспомнить фильм, где начинающий гангстер грабит вместе с двумя подельниками.?",3
