task,instruction,input,output_json
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.","Сходил в кинотеатр Октябрь посмотреть новый фильм Marvel - ну такое себе, но попкорн вкусный был","{""entities"": [{""text"": ""Октябрь"", ""type"": ""LOC""}, {""text"": ""Marvel"", ""type"": ""ORG""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,"Сходил в кинотеатр Октябрь посмотреть новый фильм Marvel - ну такое себе, но попкорн вкусный был","{""label"": ""NEUTRAL"", ""entities"": [{""text"": ""Октябрь"", ""type"": ""LOC""}, {""text"": ""Marvel"", ""type"": ""ORG""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.","Обслуживание в банке ВТБ на Тверской оставляет желать лучшего, хотя менеджер Ольга старалась помочь","{""label"": ""NEUTRAL""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.","Обслуживание в банке ВТБ на Тверской оставляет желать лучшего, хотя менеджер Ольга старалась помочь","{""entities"": [{""text"": ""ВТБ"", ""type"": ""ORG""}, {""text"": ""Тверской"", ""type"": ""LOC""}, {""text"": ""Ольга"", ""type"": ""PERSON""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,"Обслуживание в банке ВТБ на Тверской оставляет желать лучшего, хотя менеджер Ольга старалась помочь","{""label"": ""NEUTRAL"", ""entities"": [{""text"": ""ВТБ"", ""type"": ""ORG""}, {""text"": ""Тверской"", ""type"": ""LOC""}, {""text"": ""Ольга"", ""type"": ""PERSON""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.","Купил новый Samsung Galaxy S24 Ultra в DNS на Ленинском проспекте, консультант Дмитрий Иванович всё объяснил","{""label"": ""POSITIVE""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.","Купил новый Samsung Galaxy S24 Ultra в DNS на Ленинском проспекте, консультант Дмитрий Иванович всё объяснил","{""entities"": [{""text"": ""Samsung Galaxy S24 Ultra"", ""type"": ""ORG""}, {""text"": ""DNS"", ""type"": ""ORG""}, {""text"": ""Ленинском проспекте"", ""type"": ""LOC""}, {""text"": ""Дмитрий Иванович"", ""type"": ""PERSON""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,"Купил новый Samsung Galaxy S24 Ultra в DNS на Ленинском проспекте, консультант Дмитрий Иванович всё объяснил","{""label"": ""POSITIVE"", ""entities"": [{""text"": ""Samsung Galaxy S24 Ultra"", ""type"": ""ORG""}, {""text"": ""DNS"", ""type"": ""ORG""}, {""text"": ""Ленинском проспекте"", ""type"": ""LOC""}, {""text"": ""Дмитрий Иванович"", ""type"": ""PERSON""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.",Ужинал в ресторане White Rabbit на Смоленской площади - шеф-повар Владимир Мухин превзошел ожидания,"{""label"": ""POSITIVE""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.",Ужинал в ресторане White Rabbit на Смоленской площади - шеф-повар Владимир Мухин превзошел ожидания,"{""entities"": [{""text"": ""White Rabbit"", ""type"": ""ORG""}, {""text"": ""Смоленской площади"", ""type"": ""LOC""}, {""text"": ""Владимир Мухин"", ""type"": ""PERSON""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,Ужинал в ресторане White Rabbit на Смоленской площади - шеф-повар Владимир Мухин превзошел ожидания,"{""label"": ""POSITIVE"", ""entities"": [{""text"": ""White Rabbit"", ""type"": ""ORG""}, {""text"": ""Смоленской площади"", ""type"": ""LOC""}, {""text"": ""Владимир Мухин"", ""type"": ""PERSON""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.","норм телек LG купил в эльдорадо, продавец норм чел был, всё рассказал про функции","{""label"": ""POSITIVE""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.","норм телек LG купил в эльдорадо, продавец норм чел был, всё рассказал про функции","{""entities"": [{""text"": ""LG"", ""type"": ""ORG""}, {""text"": ""эльдорадо"", ""type"": ""ORG""}, {""text"": ""чел"", ""type"": ""PERSON""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,"норм телек LG купил в эльдорадо, продавец норм чел был, всё рассказал про функции","{""label"": ""POSITIVE"", ""entities"": [{""text"": ""LG"", ""type"": ""ORG""}, {""text"": ""эльдорадо"", ""type"": ""ORG""}, {""text"": ""чел"", ""type"": ""PERSON""}]}"
